,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**,,,,
APPLING," 1,169 "," $6,577 "," $3,678 ", $- , $175 , $- , $- , $16 ," $2,709 ",373,,,,
ATKINSON, 421 ," $3,703 "," $1,757 ", $- , $80 , $- , $- , $20 ," $1,846 ",193,,,,
BACON, 802 ," $4,820 "," $2,854 ", $- , $59 , $- , $- , $86 ," $1,821 ",210,,,,
BAKER, 303 ," $1,373 ", $863 , $- , $27 , $- , $- , $31 , $452 ,63,,,,
BALDWIN," 4,050 "," $24,251 "," $13,211 ", $- ," $1,065 ", $- , $- , $154 ," $9,821 ",970,,,,
BANKS," 1,041 "," $7,275 "," $4,310 ", $- , $249 , $- , $- , $47 ," $2,668 ",298,,,,
BARROW," 5,884 "," $27,822 "," $15,261 ", $- ," $2,117 ", $- , $- , $178 ," $10,267 ","1,113",,,,
BARTOW," 7,859 "," $38,620 "," $24,261 ", $- ," $2,494 ", $- , $- , $542 ," $11,323 ","1,392",,,,
BEN HILL," 1,215 "," $11,138 "," $5,915 ", $- , $292 , $- , $- , $52 ," $4,878 ",396,,,,
BERRIEN," 1,492 "," $13,783 "," $7,869 ", $- , $809 , $- , $- , $92 ," $5,013 ",519,,,,
BIBB," 11,712 "," $94,330 "," $48,622 ", $- ," $6,289 ", $- , $- , $746 ," $38,673 ","3,914",,,,
BLECKLEY," 1,012 "," $9,971 "," $4,175 ", $- , $332 , $- , $- , $47 ," $5,418 ",253,,,,
BRANTLEY," 1,277 "," $9,471 "," $4,505 ", $- , $361 , $- , $- , $78 ," $4,526 ",511,,,,
BROOKS," 1,374 "," $10,128 "," $3,885 ", $- , $127 , $- , $- , $64 ," $6,051 ",542,,,,
BRYAN," 3,995 "," $37,900 "," $23,589 ", $- ," $8,364 ", $- , $- , $390 ," $5,557 ","1,033",,,,
BULLOCH," 5,043 "," $28,263 "," $13,918 ", $- ," $3,698 ", $- , $- , $148 ," $10,499 ","1,140",,,,
BURKE," 1,791 "," $16,636 "," $7,436 ", $- , $556 , $- , $- , $87 ," $8,557 ",616,,,,
BUTTS," 2,373 "," $14,148 "," $9,040 ", $- , $690 , $- , $- , $125 ," $4,294 ",450,,,,
CALHOUN, 443 ," $3,211 "," $1,566 ", $- , $146 , $- , $- , $14 ," $1,484 ",141,,,,
CAMDEN," 7,368 "," $49,546 "," $27,209 ", $- ," $8,352 ", $- , $- , $267 ," $13,719 ","1,854",,,,
CANDLER, 764 ," $5,119 "," $2,490 ", $- , $204 , $- , $- , $21 ," $2,404 ",243,,,,
CARROLL," 8,063 "," $60,500 "," $30,392 ", $- ," $3,709 ", $- , $- , $625 ," $25,773 ","1,974",,,,
CATOOSA," 5,221 "," $23,651 "," $13,249 ", $- ," $1,127 ", $- , $- , $108 ," $9,167 ","1,240",,,,
CHARLTON, 943 ," $6,244 "," $3,126 ", $- , $166 , $- , $- , $6 ," $2,945 ",317,,,,
CHATHAM," 27,480 "," $204,092 "," $112,503 ", $- ," $40,733 ", $- , $- ," $2,224 "," $48,632 ","7,148",,,,
CHATTAHOOCHEE," 1,394 "," $4,461 "," $2,948 ", $- , $378 , $- , $- , $10 ," $1,125 ",175,,,,
CHATTOOGA," 1,954 "," $11,153 "," $7,982 ", $- , $437 , $- , $- , $126 ," $2,607 ",395,,,,
CHEROKEE," 18,069 "," $82,397 "," $52,297 ", $- ," $7,338 ", $- , $- ," $1,278 "," $21,485 ","2,430",,,,
